exercise,movement
Barbell Bench Press,Push
EZ-Bar Curl,Curl
Overhead Cable Triceps Extension,Extension
T-Bar Row,Row
Barbell Overhead Press,Press
Pullups,Pull
Weighted Knee Raises,Abs
Barbell Squat,Squat
Leg Curl,Hinge
Leg Extension,Squat
Barbell RDL,Hinge
Standing Calf Raise,Calves
Cable Crunch,Abs
45° Incline Dumbbell Press,Push
Cable Tricep Pressdown,Extension
Dumbbell Lat Raise,Shoulders
Seated Dumbbell Overhead Press,Press
Ab Wheel Rollout,Abs
Deadlift,Hinge
One-Arm Lat Pulldown,Pull
Incline Dumbbell Curl,Curl
Chest-Supported Dumbbell Row,Row
Seated Rear Delt Fly,Shoulders
Bicycles,Abs
Dips,Push
Neutral-Grip Chin-Up,Pull
Dumbbell Overhead Extension,Extension
